Instrument,Date,GICS Industry Group Name,Earnings Per Share - Actual Surprise,Earnings Per Share - Actual Surprise AbsVals
NRG.N,2014-10-01,Utilities,19.116234390009616,19.116234390009616
NRG.N,2015-01-01,Utilities,-27.500286183080863,27.500286183080863
NRG.N,2015-04-01,Utilities,-282.14039578615734,282.14039578615734
NRG.N,2015-10-01,Utilities,-14.82558901381136,14.82558901381136
NRG.N,2016-04-01,Utilities,287.84744667097607,287.84744667097607
NRG.N,2016-07-01,Utilities,-223.83594214384783,223.83594214384783
NRG.N,2016-10-01,Utilities,-31.395249121001637,31.395249121001637
NRG.N,2017-01-01,Utilities,-45.6318597301981,45.6318597301981
NRG.N,2017-04-01,Utilities,80.05295675198589,80.05295675198589
NRG.N,2017-10-01,Utilities,-34.75935828877006,34.75935828877006
NRG.N,2018-01-01,Utilities,-1.960784313725492,1.960784313725492
NRG.N,2018-07-01,Utilities,-76.02009263816845,76.02009263816845
NRG.N,2018-10-01,Utilities,-26.52123995407577,26.52123995407577
NRG.N,2019-04-01,Utilities,-17.309142203954558,17.309142203954558
NRG.N,2019-07-01,Utilities,-7.630999036723282,7.630999036723282
NRG.N,2019-10-01,Utilities,-10.667617011166543,10.667617011166543
NRG.N,2020-01-01,Utilities,-27.18035563082134,27.18035563082134
NRG.N,2020-04-01,Utilities,9.015364995783376,9.015364995783376
NRG.N,2020-07-01,Utilities,8.547008547008556,8.547008547008556
NRG.N,2020-10-01,Utilities,-37.930908581964665,37.930908581964665
NRG.N,2021-01-01,Utilities,-274.01960784313724,274.01960784313724
NRG.N,2021-07-01,Utilities,219.57467515960585,219.57467515960585
NRG.N,2021-10-01,Utilities,192.81277728482695,192.81277728482695
NRG.N,2022-07-01,Utilities,232.30769230769232,232.30769230769232
NRG.N,2022-10-01,Utilities,-79.73799126637554,79.73799126637554
LUMN.N,2013-01-01,Telecommunication Services,-0.9564356142918348,0.9564356142918348
LUMN.N,2013-04-01,Telecommunication Services,11.15173674588666,11.15173674588666
LUMN.N,2013-07-01,Telecommunication Services,3.5305415097453654,3.5305415097453654
LUMN.N,2013-10-01,Telecommunication Services,0.3536270668068431,0.3536270668068431
LUMN.N,2014-01-01,Telecommunication Services,-35.58666983083025,35.58666983083025
LUMN.N,2014-04-01,Telecommunication Services,8.883939618906222,8.883939618906222
LUMN.N,2014-07-01,Telecommunication Services,12.97130215116188,12.97130215116188
LUMN.N,2014-10-01,Telecommunication Services,2.0722282529446976,2.0722282529446976
LUMN.N,2015-01-01,Telecommunication Services,-4.316902419187656,4.316902419187656
LUMN.N,2015-04-01,Telecommunication Services,14.559288706505953,14.559288706505953
LUMN.N,2015-07-01,Telecommunication Services,-8.707632041961284,8.707632041961284
LUMN.N,2015-10-01,Telecommunication Services,2.799071871236815,2.799071871236815
LUMN.N,2016-01-01,Telecommunication Services,23.483468650634403,23.483468650634403
